	Domain	Supergroup	Division	Subdivision	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	NA	NA	NA	NA	NA	NA	NA	NA
ASV_2	Eukaryota	NA	NA	NA	NA	NA	NA	NA	NA
ASV_3	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Oceanospirillales	Endozoicomonadaceae	Endozoicomonas	Endozoicomonas_sp.
ASV_4	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Delftia	Delftia_sp.
ASV_5	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ralstonia	Ralstonia_sp.
ASV_6	Bacteria	CMS	Cyanobacteria	Cyanobacteria_X	Cyanophyceae	Synechococcales	Cyanobiaceae	Prochlorococcus_MIT9313	Prochlorococcus_MIT9313_sp.
ASV_7	Bacteria	Terrabacteria	Actinobacteria	Actinobacteria_X	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus_Actinomarina	Candidatus_Actinomarina_sp.
ASV_8	Eukaryota:plas	Archaeplastida:plas	Streptophyta:plas	Streptophyta_X:plas	Embryophyceae:plas	Embryophyceae_X:plas	Embryophyceae_XX:plas	Artemisia:plas	Artemisia_annua:plas
ASV_9	Bacteria	CMS	Cyanobacteria	Cyanobacteria_X	Cyanophyceae	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	Synechococcus_CC9902_sp.
ASV_10	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_sp.
ASV_11	Eukaryota	NA	NA	NA	NA	NA	NA	NA	NA
ASV_12	Bacteria	Terrabacteria	Firmicutes	Firmicutes_X	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_sp.
ASV_13	Bacteria	FCB	Bacteroidetes	Bacteroidetes_X	Bacteroidia	Cytophagales	Amoebophilaceae	Candidatus_Amoebophilus	Candidatus_Amoebophilus_sp.
ASV_14	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia	Clade_Ia_sp.
ASV_15	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia	Clade_Ia_sp.
ASV_16	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae	Terasakiellaceae_X	Terasakiellaceae_X_sp.
ASV_17	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	SAR11_clade	Clade_II	Clade_II_X	Clade_II_X_sp.
ASV_18	Eukaryota:plas	TSAR:plas	Alveolata:plas	Chrompodellids:plas	Colpodellidea:plas	Colpodellida:plas	Colpodellaceae:plas	Colpodellidae:plas	Colpodellidae_sp.:plas
ASV_19	Eukaryota:plas	TSAR:plas	Stramenopiles:plas	Gyrista:plas	Eustigmatophyceae:plas	Eustigmatophyceae_X:plas	Eustigmatophyceae_XX:plas	Nannochloropsis:plas	Nannochloropsis_sp.:plas
ASV_20	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter_sp.
ASV_21	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	NA	NA	NA	NA
ASV_22	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	EscherichiaShigella	EscherichiaShigella_sp.
ASV_23	Eukaryota:plas	TSAR:plas	Stramenopiles:plas	Gyrista:plas	Eustigmatophyceae:plas	Eustigmatophyceae_X:plas	Eustigmatophyceae_XX:plas	Nannochloropsis:plas	Nannochloropsis_sp.:plas
ASV_24	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ib	Clade_Ib_sp.
ASV_25	Eukaryota:plas	TSAR:plas	Stramenopiles:plas	Gyrista:plas	Mediophyceae:plas	Thalassiosirales:plas	Thalassiosiraceae:plas	Thalassiosira:plas	Thalassiosira_sp.:plas
ASV_26	Bacteria	Terrabacteria	Firmicutes	Firmicutes_X	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria_sp.
ASV_27	Eukaryota:plas	Archaeplastida:plas	Streptophyta:plas	Streptophyta_X:plas	Embryophyceae:plas	Embryophyceae_X:plas	Embryophyceae_XX:plas	Theobroma:plas	Theobroma_cacao:plas
ASV_28	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ib	Clade_Ib_sp.
ASV_29	Eukaryota:plas	Archaeplastida:plas	Chlorophyta:plas	Chlorophyta_X:plas	Ulvophyceae:plas	Bryopsidales:plas	Ostreobiaceae:plas	Ostreobium:plas	Ostreobium_sp2:plas
ASV_30	Bacteria	CMS	Cyanobacteria	Cyanobacteria_X	Cyanophyceae	Synechococcales	Cyanobiaceae	Cyanobium_PCC6307	Cyanobium_PCC6307_sp.
ASV_31	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	NA	NA	NA	NA
