	T1	T10	T100	T101	T102	T103	T104	T105	T106	T107	T108	T11	T12	T13	T14	T15	T16	T17	T18	T19	T2	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T3	T30	T31	T32	T33	T34	T35	T36	T37	T38	T39	T4	T40	T41	T42	T43	T44	T45	T46	T47	T48	T49	T5	T50	T51	T52	T53	T54	T55	T56	T57	T58	T59	T6	T60	T61	T62	T63	T64	T65	T66	T67	T68	T69	T7	T70	T71	T72	T73	T74	T75	T76	T77	T78	T79	T8	T80	T81	T82	T83	T84	T85	T86	T87	T88	T89	T9	T90	T91	T92	T93	T94	T95	T96	T97	T98	T99	TW1	TW10	TW11	TW12	TW2	TW3	TW4	TW5	TW6	TW7	TW8	TW9
ASV_1	9020	11118	3028	633	869	73446	78570	76311	20688	17561	16108	4	430	92391	93021	74545	14513	18940	20997	475	10272	447	396	75280	75988	67312	20122	20472	16977	1693	3	9929	5	79470	73484	82966	20251	17138	16998	456	456	436	58261	83059	94292	81691	18202	19507	21094	360	5	5	91316	70487	66638	62506	20002	18356	19682	183	149	3	78340	80610	57564	71719	21466	17626	18057	870	10	7	76005	74985	77101	19252	19690	17210	19062	476	520	485	83052	84992	77248	16129	19505	18025	18518	339	2386	494	83228	88872	76462	21009	17143	18575	17084	304	387	1203	71963	26176	85306	19758	21662	14855	482	558	868	494	428	504	444	2176	908	695	1882	1017
ASV_2	22670	21401	23716	18747	8693	372	434	500	0	0	12	17422	28657	301	1	3	1357	369	870	21709	20966	24852	25177	4	0	2	1395	1483	1073	27558	25519	17335	24900	5	0	3	33	3	3	21517	19469	21992	301	732	547	429	0	2	2	20809	20004	22586	509	264	2	3	1	1	6	22033	23998	22026	3	3	211	2	0	67	14	21447	21363	22454	8	3	2	1262	0	0	1	22326	16864	21951	462	408	427	1	1055	0	29	25526	11226	23091	732	355	410	0	0	1360	2	24209	19001	23443	338	736	299	1	21	1	5	3	12	14	0	2	5	3	1	6	8	23
ASV_3	781	868	379	104	121	5823	6862	7757	2846	2404	2537	0	29	6524	5901	7568	2194	2594	2410	56	792	66	58	7107	7223	7105	2544	2532	2326	202	0	941	0	7659	6411	7029	2768	2311	2243	62	58	53	4767	7055	7271	7158	2269	2638	2542	40	1	0	7609	5104	4302	6260	2438	2547	2391	15	19	0	7223	7151	5560	6829	2664	2226	2128	101	0	0	5851	7084	5663	2782	2480	2408	2817	66	93	52	7568	6296	8490	2150	2727	2394	2320	40	317	52	5883	6277	6990	2745	2285	2731	2128	33	33	190	7185	1768	6506	2698	2853	2045	73	2	23	1	55	77	63	149	45	21	158	60
ASV_4	8790	8798	8920	7361	3053	165	171	188	0	1	5	6989	11063	68	0	0	445	90	217	8754	8630	9953	10313	0	0	0	328	404	250	10850	10255	7189	10424	0	2	0	11	0	0	8028	8442	9239	71	163	162	134	0	0	1	8041	8362	8961	131	59	0	0	2	1	1	8678	9306	8809	1	2	51	0	0	17	3	8431	9193	8997	1	0	0	323	0	0	0	8646	6688	8788	110	142	114	0	350	0	6	9371	3988	8584	204	149	168	0	2	408	0	9497	7954	8653	169	323	161	0	3	0	0	0	6	1	4	0	0	0	1	0	0	5
ASV_5	1586	2193	11	0	0	17334	5624	6204	1	2	1	5	3	5112	5578	6472	6	4	0	9	1894	7	3	6655	7255	8700	0	0	0	5	3	1992	0	7071	6397	6593	0	0	0	0	1	1	3004	7873	6017	6751	4	2	0	0	1	1	6540	3718	5800	4584	0	0	0	4	5	0	7213	8636	3408	4613	0	0	0	6	1	0	8746	6113	7685	3	0	0	0	1	1	1	6823	7658	8971	0	1	0	0	0	3	0	9234	5711	8076	1	0	0	4	4	0	5	9730	13529	5765	2	1	0	7	0	6	18	0	1	3	3	53	9	23	23
ASV_6	7832	8125	7731	5230	2337	129	135	148	0	0	7	5176	8768	119	0	0	485	92	307	7790	6075	7608	9244	0	0	2	510	509	411	9156	8593	5402	8632	0	1	1	15	1	0	5658	7164	6966	130	270	176	131	0	0	0	6669	6013	7762	200	80	1	0	1	0	2	7269	7750	8313	2	2	67	0	0	12	2	7353	6667	7545	1	3	0	393	0	0	0	6217	4618	6770	187	147	125	1	344	0	6	8207	3115	6905	319	115	126	0	0	398	0	8145	5606	7501	137	236	134	0	2	1	0	1	0	1	0	0	0	0	0	0	0	2
ASV_7	1	5	1040	244	350	204	36	5	5652	6007	4620	1	133	51	61	31	5738	6687	6693	178	5	131	167	18	81	224	6607	6356	5968	525	1	9	0	76	186	25	7400	6040	6059	156	158	169	9	14	17	27	6016	7167	6953	114	2	0	53	11	19	2	6758	6708	6295	66	52	0	10	22	10	20	6269	5928	5802	271	0	2	26	25	91	7138	6443	6365	6337	175	148	165	16	65	155	5782	7386	6255	6363	145	733	137	113	19	5	7223	6267	7008	5786	98	93	441	163	10	85	5869	6432	4427	134	2	43	1	124	173	123	8	1	1	8	5
ASV_8	0	0	894	231	337	3	2	2	6548	5586	5076	1	127	0	5	2	4839	5797	6344	135	0	139	102	2	3	1	5921	5882	5278	417	1	0	0	0	7	3	6494	5309	5230	133	134	135	1	1	5	4	5701	6369	6657	93	1	1	3	3	1	1	6239	5990	5908	57	42	0	2	4	3	9	6536	5451	5503	266	0	0	0	2	4	6140	5852	5271	6292	162	154	143	1	6	2	5060	6292	5719	5718	108	705	168	5	4	5	6501	5380	5885	5389	81	109	353	5	1	1	6282	6792	4694	110	3	16	9	127	146	131	6	1	0	1	1
ASV_9	1307	1233	3767	8894	43165	76	112	112	0	0	2	11120	6277	19	0	0	696	115	67	1207	3532	2360	1507	0	0	0	33	55	38	1939	1563	4310	1417	0	0	0	1	0	0	5228	3545	2697	24	13	29	33	1	0	0	4090	6902	2964	4	37	0	0	0	0	0	2770	2648	2024	0	0	55	0	0	1	0	2796	3632	3103	1	0	0	562	0	0	0	8852	8493	6129	11	24	31	0	545	0	2	4215	21489	6032	19	101	74	0	0	475	0	1778	4738	3446	109	184	73	0	0	0	10	311	521	330	0	2	2	495	662	321	482	442
ASV_10	1	0	907	202	259	3	2	2	6565	5012	4812	2	112	2	2	1	4119	5078	5730	124	0	140	101	2	3	1	5457	5451	4484	454	0	0	0	1	0	1	6269	4958	4900	122	140	98	0	4	5	0	5559	5955	5990	121	1	1	4	1	1	0	5959	5251	6022	60	45	0	0	0	1	0	6491	5008	4995	277	0	0	1	0	0	5328	6215	4985	5322	149	136	158	2	2	4	4507	5867	5211	5398	110	588	143	2	1	2	6411	5106	5419	4951	88	94	325	3	0	6	5838	6578	4292	123	2	14	1	113	137	155	9	0	1	3	1
ASV_11	5082	4549	5469	5215	2387	85	100	98	0	0	1	5213	6725	62	0	0	362	101	240	4563	5432	6183	5180	0	1	1	327	330	247	5817	5770	4304	5813	0	1	1	4	0	0	5542	4519	5576	80	147	151	109	1	1	0	4738	6002	5214	101	68	0	0	0	0	1	4570	5413	4518	0	0	83	0	0	6	3	4842	5840	5336	0	0	0	324	0	0	0	5510	4654	5590	142	102	88	0	260	0	1	6083	3277	5592	174	92	94	0	0	368	0	5476	4307	5400	66	155	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_12	5557	5466	5431	3586	1503	92	114	114	0	0	0	3698	6196	32	0	0	224	23	63	5537	4442	5541	6654	0	0	0	78	75	73	6545	6314	3893	6379	0	0	0	0	0	0	3939	4596	4802	34	30	30	15	0	0	0	4511	3747	5535	31	9	1	2	0	0	0	5549	5556	5793	1	0	13	0	0	0	0	4993	4615	5432	0	0	0	154	0	0	0	4473	3267	4599	34	28	24	0	134	0	0	5240	1858	4841	38	95	94	0	0	171	0	5830	4269	4828	70	185	68	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_13	1061	1289	0	0	0	5996	3899	4344	0	0	2	0	1	4746	4536	4127	1	0	1	0	1100	1	1	4329	4066	2635	0	0	0	4	0	1107	0	4285	3183	5109	0	3	1	0	0	0	2218	6112	5352	5259	1	0	2	0	0	0	4767	3337	4621	3120	0	0	0	0	2	0	5436	6187	2186	3029	0	0	1	2	0	2	6643	4547	5017	0	0	0	0	0	0	0	4997	5993	3930	1	0	0	0	3	2	0	5522	5080	5499	0	0	1	0	1	0	1	4065	9578	3898	2	1	1	3	1	4	2	0	1	1	198	25	15	46	13
ASV_14	593	630	1	0	0	3372	5762	5342	5	1	0	0	0	5204	6284	4927	2	2	2	0	704	0	1	4475	5071	4201	2	3	0	0	0	577	0	5105	4362	5423	3	2	4	0	1	0	4084	4745	6460	4844	0	0	2	0	0	0	4994	5141	4154	3957	0	2	2	1	1	1	4733	4606	3791	4104	0	2	1	0	0	0	4169	4885	4744	2	2	2	1	0	0	1	5226	5389	4605	2	3	2	1	0	2	0	4182	5871	4371	4	1	4	2	1	0	0	3987	1446	4432	4	2	1	3	0	4	1	0	0	0	134	45	11	74	22
ASV_15	525	649	1	1	1	4174	4248	4274	4	2	3	0	3	5010	4960	4165	2	0	3	1	560	1	3	4086	4016	3964	0	5	0	0	0	590	0	4434	4077	4425	1	7	4	0	0	0	3009	4562	4769	4645	3	5	1	0	0	1	5441	3692	3657	3656	3	5	2	0	0	0	4283	4528	3134	4178	2	2	3	0	0	0	4063	4272	4112	3	2	1	6	0	0	0	4643	4414	4625	2	1	4	7	0	0	0	4655	4532	4324	4	3	2	3	0	0	2	4229	1471	5199	3	5	4	2	1	10	2	1	1	1	46	15	16	42	39
ASV_16	497	619	0	0	0	3005	3782	4313	0	0	1	1	1	4910	3971	4182	0	0	0	0	498	0	0	4469	3864	2649	0	0	0	1	0	507	0	4147	2830	4285	1	0	0	0	0	1	2901	4577	4308	4570	0	0	0	0	0	0	5314	3117	3106	3802	1	0	0	0	0	0	4799	4951	3169	4363	0	1	0	0	0	0	4427	4122	3203	2	0	0	0	0	0	0	4556	3877	3573	3	1	0	0	0	1	0	3794	4143	4459	0	0	0	0	0	0	1	3874	1383	4957	0	0	0	1	1	8	0	3	0	2	99	23	16	83	31
ASV_17	0	1	500	112	187	4	5	6	4228	3455	3481	0	60	7	12	10	2827	3278	3287	105	3	64	77	7	9	8	3861	3824	3032	270	0	1	0	9	8	10	3760	3370	3175	80	65	93	6	6	12	4	3288	3673	3704	54	0	0	12	4	6	3	3482	3391	3302	31	24	0	3	13	5	5	4139	3193	2981	159	0	0	6	10	9	3490	3315	3570	4094	83	90	77	10	6	9	3061	3859	3341	3223	66	397	77	11	5	4	3746	3385	3520	2919	49	57	229	9	1	7	3918	4355	2934	91	4	6	1	78	113	68	11	0	3	2	0
ASV_18	108	139	323	92	108	733	1030	1034	2484	2065	2027	0	39	1305	1355	1014	1784	2026	2050	53	154	53	53	972	908	793	2299	2115	1925	171	0	98	0	1016	858	1051	2383	1858	1834	46	43	45	752	1099	1223	1074	1899	2229	2111	36	0	0	1253	903	904	844	2159	2129	1826	13	13	0	1034	1092	756	935	2386	1883	1868	81	0	0	1064	907	958	2290	2078	2107	2334	43	54	65	1101	1121	1028	1860	2419	2036	2005	48	269	55	987	1170	983	2363	1967	2335	1809	39	34	122	927	284	1142	2121	2526	1718	44	0	15	6	48	63	46	21	2	5	22	5
ASV_19	3458	3553	3445	2045	985	44	48	65	1	0	1	2064	3792	65	0	0	233	47	157	3614	2521	3047	4237	1	0	0	254	227	206	4006	3642	2236	3753	0	0	0	2	0	1	2140	2783	2676	53	140	88	75	0	0	0	2728	2213	3353	88	46	0	0	0	0	1	3375	3297	3690	1	0	34	0	2	12	1	2875	2718	3116	0	0	0	138	0	3	0	2622	1873	2794	79	65	57	0	117	0	3	3600	1070	2884	155	53	66	0	0	164	0	3729	2470	3139	56	92	62	0	3	0	1	0	0	2	0	0	0	0	0	0	0	0
ASV_20	151	90	363	132	181	89	774	1225	264	2912	1265	4	29	224	481	1081	3494	2116	1392	42	117	14	57	1310	1575	1065	1409	758	2242	83	23	142	7	1209	1545	768	1380	1075	3208	6	15	14	6573	573	323	637	1512	734	715	52	4	31	370	2193	3221	3588	853	2041	1059	41	27	62	929	465	3992	2642	1129	1668	1396	60	21	56	781	1725	1064	805	554	1272	1500	20	25	32	493	512	618	2741	1051	852	798	45	323	95	358	794	559	558	2357	1132	1456	55	13	213	778	189	234	988	324	6675	59	12	15	14	26	37	27	51	30	11	31	23
ASV_21	2868	2553	2930	2635	1202	44	61	68	0	0	0	2555	3713	32	1	1	160	60	92	2551	3018	3340	3161	0	1	0	149	163	124	3343	3377	2273	3383	1	0	0	4	0	0	2785	2531	3039	44	83	75	57	0	0	0	2562	2826	2778	37	29	1	0	0	0	1	2659	2994	2602	1	1	22	1	0	8	1	2852	3073	2936	2	2	0	146	0	0	0	2931	2208	2917	50	68	55	0	131	0	7	3019	1450	2913	92	67	47	0	0	170	0	3056	2375	2924	58	114	61	0	2	0	0	0	3	0	0	0	0	0	0	0	0	1
ASV_22	339	350	0	0	0	1919	3392	2947	1	0	0	0	0	3030	3676	2791	0	0	1	0	384	0	0	2726	2992	2272	0	0	1	1	0	351	0	3034	2732	3082	0	0	0	0	0	0	2361	2811	3961	2860	0	0	1	0	0	0	2833	3027	2221	2234	0	0	1	1	0	0	2769	2618	2198	2251	0	0	0	0	0	0	2221	2755	2913	0	0	0	0	1	0	1	2931	3091	2645	0	0	0	0	0	0	0	2361	3541	2526	0	0	0	0	1	0	2	2316	753	2455	0	0	0	0	0	1	0	0	0	0	73	20	7	39	6
ASV_23	8	9	435	125	146	9	12	8	2625	2639	2344	0	37	2	5	2	2319	2744	2589	44	8	55	55	2	5	6	2851	2848	2448	149	0	5	0	5	7	2	2812	2436	2392	39	51	37	5	3	1	2	2284	2551	2666	32	1	1	5	6	5	8	2526	2330	2266	28	11	0	2	1	4	4	2763	2490	2465	76	0	1	4	1	4	3034	2342	2348	3019	48	49	65	7	0	3	2327	2897	2572	2331	30	297	75	7	13	14	2660	2276	2903	2223	37	35	166	5	16	7	2812	2989	2080	49	0	7	1	41	53	57	3	2	1	0	3
ASV_24	346	367	0	0	0	1719	2842	2822	0	0	0	0	0	2705	2875	2665	0	0	0	0	337	0	0	2583	2606	1655	0	0	0	0	0	336	0	2629	2166	2955	0	0	1	0	0	0	2017	2709	3405	2812	0	0	0	0	0	0	2479	2639	2370	2157	0	0	0	0	0	0	2729	2812	1882	2432	0	0	0	0	0	0	2699	2777	2668	0	0	0	0	0	0	0	2918	3016	2290	0	0	0	0	0	0	0	1884	2973	2561	0	0	1	0	0	0	0	2120	845	2214	0	0	0	0	1	1	2	0	0	0	79	13	14	61	24
