# emapper version: emapper-2.0.1 emapper DB: 2.0
# command: ./emapper.py  -i breviolum_proteins.faa -m diamond --data_dir . -o breviolum --cpu 8
# time: Tue Apr 15 15:47:42 2025
#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	taxonomic scope	eggNOG OGs	best eggNOG OG	COG Functional cat.	eggNOG free text desc.
symbB.v1.2.000001.t1	99158.XP_008888840.1	3.63e-35	140.0	Sarcocystidae			2.7.4.3	ko:K00939	ko00230,ko00730,ko01100,ko01110,ko01130,map00230,map00730,map01100,map01110,map01130	M00049	R00127,R01547,R11319	RC00002	ko00000,ko00001,ko00002,ko01000,ko04147				Apicomplexa	3YBC7@5794,3YNHF@5796,3YTQ7@5809,COG0563@1,KOG3078@2759	NA|NA|NA	F	Dpy-30 motif
symbB.v1.2.000002.t1	1541065.JRFE01000017_gene90	8.73e-40	143.0	Pleurocapsales													Bacteria	1G6XS@1117,2B3PJ@1,31WD1@2,3VJZ6@52604	NA|NA|NA		
symbB.v1.2.000003.t3	5811.TGME49_037890	1.96e-53	208.0	Sarcocystidae		GO:0000165,GO:0000187,GO:0001817,GO:0001932,GO:0001934,GO:0002218,GO:0002221,GO:0002224,GO:0002237,GO:0002253,GO:0002376,GO:0002682,GO:0002684,GO:0002757,GO:0002758,GO:0002764,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004683,GO:0005488,GO:0005515,GO:0005516,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005813,GO:0005815,GO:0005829,GO:0005856,GO:0006082,GO:0006464,GO:0006468,GO:0006690,GO:0006691,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006897,GO:0006907,GO:0006950,GO:0006952,GO:0006954,GO:0006974,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0008150,GO:0008152,GO:0009605,GO:0009607,GO:0009617,GO:0009892,GO:0009893,GO:0009894,GO:0009895,GO:0009931,GO:0009966,GO:0009967,GO:0009987,GO:0010033,GO:0010468,GO:0010562,GO:0010604,GO:0010605,GO:0010608,GO:0010628,GO:0010646,GO:0010647,GO:0010857,GO:0015630,GO:0016192,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018105,GO:0018193,GO:0018209,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0019752,GO:0019899,GO:0019900,GO:0019901,GO:0023014,GO:0023051,GO:0023052,GO:0023056,GO:0031323,GO:0031324,GO:0031325,GO:0031329,GO:0031330,GO:0031347,GO:0031349,GO:0031399,GO:0031401,GO:0031974,GO:0031981,GO:0032147,GO:0032268,GO:0032270,GO:0032496,GO:0032675,GO:0032680,GO:0033554,GO:0033674,GO:0033993,GO:0034097,GO:0035556,GO:0035924,GO:0036211,GO:0042221,GO:0042325,GO:0042327,GO:0043085,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043405,GO:0043406,GO:0043408,GO:0043410,GO:0043412,GO:0043436,GO:0043487,GO:0043488,GO:0043489,GO:0043549,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044281,GO:0044351,GO:0044422,GO:0044424,GO:0044428,GO:0044430,GO:0044444,GO:0044446,GO:0044464,GO:0045088,GO:0045089,GO:0045859,GO:0045860,GO:0045934,GO:0045937,GO:0046777,GO:0048010,GO:0048255,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0050776,GO:0050778,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051019,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051179,GO:0051234,GO:0051239,GO:0051246,GO:0051247,GO:0051252,GO:0051253,GO:0051338,GO:0051347,GO:0051704,GO:0051707,GO:0051716,GO:0060255,GO:0061013,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070848,GO:0070887,GO:0070935,GO:0071310,GO:0071363,GO:0071704,GO:0071900,GO:0071902,GO:0080090,GO:0080134,GO:0080135,GO:0098657,GO:0140096,GO:1900034,GO:1901564,GO:1901568,GO:1901700,GO:1902369,GO:1902373,GO:1902531,GO:1902533,GO:1903311,GO:1903312,GO:1903555											Apicomplexa	3Y9VH@5794,3YMT4@5796,3YRZD@5809,KOG0032@1,KOG0032@2759	NA|NA|NA	T	EF hand
symbB.v1.2.000003.t1	5811.TGME49_037890	1.31e-73	259.0	Sarcocystidae		GO:0000165,GO:0000187,GO:0001817,GO:0001932,GO:0001934,GO:0002218,GO:0002221,GO:0002224,GO:0002237,GO:0002253,GO:0002376,GO:0002682,GO:0002684,GO:0002757,GO:0002758,GO:0002764,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004683,GO:0005488,GO:0005515,GO:0005516,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005813,GO:0005815,GO:0005829,GO:0005856,GO:0006082,GO:0006464,GO:0006468,GO:0006690,GO:0006691,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006897,GO:0006907,GO:0006950,GO:0006952,GO:0006954,GO:0006974,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0008150,GO:0008152,GO:0009605,GO:0009607,GO:0009617,GO:0009892,GO:0009893,GO:0009894,GO:0009895,GO:0009931,GO:0009966,GO:0009967,GO:0009987,GO:0010033,GO:0010468,GO:0010562,GO:0010604,GO:0010605,GO:0010608,GO:0010628,GO:0010646,GO:0010647,GO:0010857,GO:0015630,GO:0016192,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018105,GO:0018193,GO:0018209,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0019752,GO:0019899,GO:0019900,GO:0019901,GO:0023014,GO:0023051,GO:0023052,GO:0023056,GO:0031323,GO:0031324,GO:0031325,GO:0031329,GO:0031330,GO:0031347,GO:0031349,GO:0031399,GO:0031401,GO:0031974,GO:0031981,GO:0032147,GO:0032268,GO:0032270,GO:0032496,GO:0032675,GO:0032680,GO:0033554,GO:0033674,GO:0033993,GO:0034097,GO:0035556,GO:0035924,GO:0036211,GO:0042221,GO:0042325,GO:0042327,GO:0043085,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043405,GO:0043406,GO:0043408,GO:0043410,GO:0043412,GO:0043436,GO:0043487,GO:0043488,GO:0043489,GO:0043549,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044281,GO:0044351,GO:0044422,GO:0044424,GO:0044428,GO:0044430,GO:0044444,GO:0044446,GO:0044464,GO:0045088,GO:0045089,GO:0045859,GO:0045860,GO:0045934,GO:0045937,GO:0046777,GO:0048010,GO:0048255,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0050776,GO:0050778,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051019,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051179,GO:0051234,GO:0051239,GO:0051246,GO:0051247,GO:0051252,GO:0051253,GO:0051338,GO:0051347,GO:0051704,GO:0051707,GO:0051716,GO:0060255,GO:0061013,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070848,GO:0070887,GO:0070935,GO:0071310,GO:0071363,GO:0071704,GO:0071900,GO:0071902,GO:0080090,GO:0080134,GO:0080135,GO:0098657,GO:0140096,GO:1900034,GO:1901564,GO:1901568,GO:1901700,GO:1902369,GO:1902373,GO:1902531,GO:1902533,GO:1903311,GO:1903312,GO:1903555											Apicomplexa	3Y9VH@5794,3YMT4@5796,3YRZD@5809,KOG0032@1,KOG0032@2759	NA|NA|NA	T	EF hand
symbB.v1.2.000003.t2	27923.ML070268a-PA	2.8e-19	87.4	Metazoa	CAMK1	GO:0000902,GO:0001932,GO:0001934,GO:0002682,GO:0002684,GO:0002685,GO:0002687,GO:0002688,GO:0002690,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004683,GO:0005488,GO:0005515,GO:0005516,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0006355,GO:0006357,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006913,GO:0007154,GO:0007165,GO:0007275,GO:0007399,GO:0007610,GO:0008150,GO:0008152,GO:0009266,GO:0009628,GO:0009653,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010562,GO:0010604,GO:0010628,GO:0010720,GO:0010941,GO:0010942,GO:0010975,GO:0010976,GO:0016043,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018105,GO:0018107,GO:0018193,GO:0018209,GO:0018210,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0022008,GO:0022603,GO:0023052,GO:0030030,GO:0030100,GO:0030154,GO:0030182,GO:0030334,GO:0030335,GO:0031175,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031344,GO:0031346,GO:0031399,GO:0031401,GO:0032091,GO:0032101,GO:0032103,GO:0032268,GO:0032270,GO:0032386,GO:0032388,GO:0032501,GO:0032502,GO:0032793,GO:0032879,GO:0032880,GO:0032989,GO:0032990,GO:0033135,GO:0033138,GO:0033157,GO:0033674,GO:0035556,GO:0036211,GO:0040012,GO:0040017,GO:0040040,GO:0042325,GO:0042327,GO:0042981,GO:0043065,GO:0043066,GO:0043067,GO:0043068,GO:0043069,GO:0043085,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043393,GO:0043412,GO:0043549,GO:0044092,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0045595,GO:0045597,GO:0045664,GO:0045666,GO:0045807,GO:0045859,GO:0045860,GO:0045893,GO:0045935,GO:0045937,GO:0045944,GO:0046777,GO:0046822,GO:0046824,GO:0046825,GO:0046827,GO:0046907,GO:0048468,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048666,GO:0048699,GO:0048731,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0050764,GO:0050766,GO:0050767,GO:0050769,GO:0050773,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050803,GO:0050807,GO:0050896,GO:0050920,GO:0050921,GO:0051049,GO:0051050,GO:0051090,GO:0051091,GO:0051094,GO:0051098,GO:0051100,GO:0051128,GO:0051130,GO:0051147,GO:0051149,GO:0051169,GO:0051171,GO:0051173,GO:0051174,GO:0051179,GO:0051222,GO:0051223,GO:0051234,GO:0051239,GO:0051240,GO:0051246,GO:0051247,GO:0051252,GO:0051254,GO:0051270,GO:0051272,GO:0051338,GO:0051347,GO:0051641,GO:0051649,GO:0051716,GO:0051823,GO:0051835,GO:0051960,GO:0051962,GO:0060142,GO:0060143,GO:0060255,GO:0060263,GO:0060267,GO:0060284,GO:0060341,GO:0060548,GO:0060627,GO:0060998,GO:0060999,GO:0065007,GO:0065008,GO:0065009,GO:0070201,GO:0071622,GO:0071624,GO:0071704,GO:0071840,GO:0071900,GO:0071902,GO:0080090,GO:0090022,GO:0090023,GO:0090087,GO:0090316,GO:0120035,GO:0120036,GO:0120039,GO:0140096,GO:1900006,GO:1901564,GO:1901983,GO:1901985,GO:1902622,GO:1902624,GO:1902680,GO:1903506,GO:1903508,GO:1903827,GO:1903829,GO:1904951,GO:2000026,GO:2000112,GO:2000145,GO:2000147,GO:2001141	2.7.11.17	ko:K08794	ko04921,ko04925,map04921,map04925				ko00000,ko00001,ko01000,ko01001				Metazoa	38DCI@33154,3BADM@33208,KOG0032@1,KOG0032@2759	NA|NA|NA	T	calmodulin-dependent protein kinase activity
symbB.v1.2.000006.t1	8090.ENSORLP00000022735	2.89e-14	85.1	Actinopterygii	TTN	GO:0000070,GO:0000228,GO:0000278,GO:0000280,GO:0000793,GO:0000794,GO:0000819,GO:0001701,GO:0001756,GO:0001932,GO:0002020,GO:0002576,GO:0002791,GO:0002793,GO:0003002,GO:0003007,GO:0003008,GO:0003012,GO:0003013,GO:0003015,GO:0003300,GO:0003674,GO:0003779,GO:0003824,GO:0004672,GO:0004674,GO:0004713,GO:0005198,GO:0005200,GO:0005488,GO:0005509,GO:0005515,GO:0005516,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005737,GO:0005829,GO:0005856,GO:0005859,GO:0005865,GO:0006323,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006887,GO:0006928,GO:0006936,GO:0006941,GO:0006996,GO:0007010,GO:0007015,GO:0007049,GO:0007059,GO:0007076,GO:0007154,GO:0007165,GO:0007275,GO:0007389,GO:0007399,GO:0007417,GO:0007420,GO:0007507,GO:0007512,GO:0007517,GO:0008015,GO:0008092,GO:0008150,GO:0008152,GO:0008307,GO:0009581,GO:0009582,GO:0009605,GO:0009612,GO:0009628,GO:0009653,GO:0009790,GO:0009792,GO:0009887,GO:0009888,GO:0009893,GO:0009952,GO:0009987,GO:0010035,GO:0010038,GO:0010468,GO:0010604,GO:0010628,GO:0010737,GO:0010927,GO:0014706,GO:0014866,GO:0014896,GO:0014897,GO:0015629,GO:0016043,GO:0016192,GO:0016301,GO:0016310,GO:0016459,GO:0016460,GO:0016740,GO:0016772,GO:0016773,GO:0018108,GO:0018193,GO:0018212,GO:0019220,GO:0019222,GO:0019538,GO:0019899,GO:0019900,GO:0019901,GO:0021591,GO:0022402,GO:0022607,GO:0023052,GO:0030016,GO:0030017,GO:0030018,GO:0030029,GO:0030036,GO:0030048,GO:0030049,GO:0030154,GO:0030239,GO:0030240,GO:0030241,GO:0030261,GO:0030506,GO:0031032,GO:0031033,GO:0031034,GO:0031323,GO:0031399,GO:0031430,GO:0031433,GO:0031672,GO:0031674,GO:0031974,GO:0031981,GO:0032268,GO:0032501,GO:0032502,GO:0032879,GO:0032880,GO:0032940,GO:0032989,GO:0032991,GO:0033058,GO:0033275,GO:0034622,GO:0035051,GO:0035265,GO:0035282,GO:0035556,GO:0035994,GO:0035995,GO:0036211,GO:0036379,GO:0040007,GO:0040011,GO:0042221,GO:0042325,GO:0042692,GO:0042802,GO:0042805,GO:0043009,GO:0043056,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043292,GO:0043412,GO:0043549,GO:0043621,GO:0043933,GO:0044057,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044430,GO:0044444,GO:0044446,GO:0044449,GO:0044464,GO:0044877,GO:0045055,GO:0045214,GO:0045859,GO:0046872,GO:0046903,GO:0048285,GO:0048468,GO:0048513,GO:0048518,GO:0048522,GO:0048589,GO:0048644,GO:0048646,GO:0048729,GO:0048731,GO:0048738,GO:0048739,GO:0048747,GO:0048769,GO:0048856,GO:0048869,GO:0050708,GO:0050714,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0050982,GO:0051015,GO:0051046,GO:0051047,GO:0051049,GO:0051050,GO:0051146,GO:0051171,GO:0051174,GO:0051179,GO:0051222,GO:0051223,GO:0051234,GO:0051239,GO:0051246,GO:0051276,GO:0051338,GO:0051371,GO:0051393,GO:0051592,GO:0051606,GO:0051716,GO:0055001,GO:0055002,GO:0055003,GO:0055006,GO:0055007,GO:0055008,GO:0055013,GO:0060047,GO:0060048,GO:0060255,GO:0060322,GO:0060415,GO:0060419,GO:0060429,GO:0060537,GO:0061053,GO:0061061,GO:0065003,GO:0065007,GO:0065009,GO:0070013,GO:0070201,GO:0070252,GO:0070925,GO:0071103,GO:0071688,GO:0071704,GO:0071840,GO:0072359,GO:0080090,GO:0090087,GO:0090257,GO:0097435,GO:0097493,GO:0098813,GO:0099080,GO:0099081,GO:0099512,GO:0140014,GO:0140096,GO:1901077,GO:1901564,GO:1901897,GO:1903047,GO:1903530,GO:1903532,GO:1904951	2.7.11.1	ko:K12567	ko05410,ko05414,map05410,map05414				ko00000,ko00001,ko01000,ko01001,ko04131,ko04147,ko04812				Metazoa	38BAS@33154,3B9IR@33208,3CRJW@33213,484DC@7711,48Y8I@7742,4A1S0@7898,KOG0613@1,KOG0613@2759	NA|NA|NA	T	Titin-like
symbB.v1.2.000008.t1	2903.EOD17679	6.3e-32	123.0	Eukaryota													Eukaryota	2E0UH@1,2S883@2759	NA|NA|NA		
symbB.v1.2.000014.t1	44056.XP_009034106.1	6.32e-13	80.9	Eukaryota			2.7.1.153	ko:K21289	ko00562,ko04022,ko04072,ko04151,ko04261,ko04371,ko04611,ko04725,ko04921,ko05145,ko05167,map00562,map04022,map04072,map04151,map04261,map04371,map04611,map04725,map04921,map05145,map05167		R04545	RC00002,RC00078	ko00000,ko00001,ko01000,ko04131				Eukaryota	COG5032@1,KOG0904@2759	NA|NA|NA	BDLTU	phosphatidylinositol kinase activity
symbB.v1.2.000015.t1	83406.HDN1F_34520	3.17e-32	127.0	unclassified Gammaproteobacteria	pgsA	GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0006629,GO:0006644,GO:0006650,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008444,GO:0008610,GO:0008654,GO:0009058,GO:0009987,GO:0016020,GO:0016021,GO:0016740,GO:0016772,GO:0016780,GO:0017169,GO:0019637,GO:0031224,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044425,GO:0044464,GO:0045017,GO:0046474,GO:0046486,GO:0071704,GO:0071944,GO:0090407,GO:1901576	2.7.8.41,2.7.8.5	ko:K00995,ko:K08744	ko00564,ko01100,map00564,map01100		R01801,R02030	RC00002,RC00017,RC02795	ko00000,ko00001,ko01000			iAF1260.b1912,iAPECO1_1312.APECO1_954,iB21_1397.B21_01866,iBWG_1329.BWG_1721,iE2348C_1286.E2348C_2030,iEC042_1314.EC042_2073,iEC55989_1330.EC55989_2132,iECABU_c1320.ECABU_c21710,iECBD_1354.ECBD_1731,iECB_1328.ECB_01877,iECDH10B_1368.ECDH10B_2053,iECDH1ME8569_1439.ECDH1ME8569_1852,iECD_1391.ECD_01877,iECED1_1282.ECED1_2177,iECH74115_1262.ECH74115_2684,iECIAI1_1343.ECIAI1_1996,iECIAI39_1322.ECIAI39_1143,iECNA114_1301.ECNA114_2003,iECO103_1326.ECO103_2168,iECO111_1330.ECO111_2492,iECO26_1355.ECO26_2804,iECOK1_1307.ECOK1_2029,iECP_1309.ECP_1852,iECS88_1305.ECS88_1966,iECSF_1327.ECSF_1764,iECSP_1301.ECSP_2516,iECUMN_1333.ECUMN_2204,iECs_1301.ECs2650,iETEC_1333.ETEC_2020,iEcDH1_1363.EcDH1_1734,iEcE24377_1341.EcE24377A_2145,iEcHS_1320.EcHS_A2010,iEcSMS35_1347.EcSMS35_1271,iEcolC_1368.EcolC_1727,iG2583_1286.G2583_2363,iJO1366.b1912,iJR904.b1912,iLF82_1304.LF82_1635,iNRG857_1313.NRG857_09550,iSDY_1059.SDY_1106,iSSON_1240.SSON_1206,iSbBS512_1146.SbBS512_E1039,iUMN146_1321.UM146_07620,iUMNK88_1353.UMNK88_2386,iUTI89_1310.UTI89_C2113,iY75_1357.Y75_RS10025,iYL1228.KPN_02410,iZ_1308.Z3000,ic_1306.c2325	Bacteria	1J656@118884,1RCZ7@1224,1S465@1236,COG0558@1,COG0558@2	NA|NA|NA	I	Belongs to the CDP-alcohol phosphatidyltransferase class-I family
symbB.v1.2.000016.t1	1121272.KB903292_gene3870	9.49e-21	102.0	Micromonosporales													Bacteria	2GNTY@201174,4DAG8@85008,COG4034@1,COG4034@2	NA|NA|NA	S	Protein of unknown function (DUF1152)
